时间/h,药材半径/cm
31.93333333,1.20100000
31.95000000,1.20100000
31.96666667,1.20100000
31.98333333,1.20100000
32.00000000,1.20100000
32.01666667,1.20100000
32.03333333,1.20100000
32.05000000,1.20100000
32.06666667,1.20100000
32.08333333,1.20100000
32.10000000,1.20100000
32.11666667,1.20100000
32.13333333,1.20100000
32.15000000,1.20100000
32.16666667,1.20100000
32.18333333,1.20100000
32.20000000,1.20100000
32.21666667,1.20100000
32.23333333,1.20100000
32.25000000,1.20100000
32.26666667,1.20100000
32.28333333,1.20100000
32.30000000,1.20100000
32.31666667,1.20100000
32.33333333,1.20100000
32.35000000,1.20100000
32.36666667,1.20100000
32.38333333,1.20100000
32.40000000,1.20100000
32.41666667,1.20100000
32.43333333,1.20100000
32.45000000,1.20100000
32.46666667,1.20100000
32.48333333,1.20100000
32.50000000,1.20100000
32.51666667,1.20100000
32.53333333,1.20100000
32.55000000,1.20100000
32.56666667,1.20100000
32.58333333,1.20100000
32.60000000,1.20100000
32.61666667,1.20100000
32.63333333,1.20100000
32.65000000,1.20100000
32.66666667,1.20100000
32.68333333,1.20100000
32.70000000,1.20100000
32.71666667,1.20100000
32.73333333,1.20100000
32.75000000,1.20100000
32.76666667,1.20100000
32.78333333,1.20100000
32.80000000,1.20100000
32.81666667,1.20100000
32.83333333,1.20100000
32.85000000,1.20100000
32.86666667,1.20100000
32.88333333,1.20100000
32.90000000,1.20100000
32.91666667,1.20100000
32.93333333,1.20100000
32.95000000,1.20100000
32.96666667,1.20100000
32.98333333,1.20100000
33.00000000,1.20100000
33.01666667,1.20100000
33.03333333,1.20100000
33.05000000,1.20100000
33.06666667,1.20100000
33.08333333,1.20100000
33.10000000,1.20100000
33.11666667,1.20100000
33.13333333,1.20100000
33.15000000,1.20100000
33.16666667,1.20100000
33.18333333,1.20100000
33.20000000,1.20100000
33.21666667,1.20100000
33.23333333,1.20100000
33.25000000,1.20100000
33.26666667,1.20100000
33.28333333,1.20100000
33.30000000,1.20100000
33.31666667,1.20100000
33.33333333,1.20100000
33.35000000,1.20100000
33.36666667,1.20100000
33.38333333,1.20100000
33.40000000,1.20100000
33.41666667,1.20100000
33.43333333,1.20100000
33.45000000,1.20100000
33.46666667,1.20100000
33.48333333,1.20100000
33.50000000,1.20100000
33.51666667,1.20100000
33.53333333,1.20100000
33.55000000,1.20100000
33.56666667,1.20100000
33.58333333,1.20100000
33.60000000,1.20100000
33.61666667,1.20100000
33.63333333,1.20100000
33.65000000,1.20100000
33.66666667,1.20100000
33.68333333,1.20100000
33.70000000,1.20100000
33.71666667,1.20100000
33.73333333,1.20100000
33.75000000,1.20100000
33.76666667,1.20100000
33.78333333,1.20100000
33.80000000,1.20100000
33.81666667,1.20100000
33.83333333,1.20100000
33.85000000,1.20100000
33.86666667,1.20100000
33.88333333,1.20100000
33.90000000,1.20100000
33.91666667,1.20100000
33.93333333,1.20100000
33.95000000,1.20100000
33.96666667,1.20100000
33.98333333,1.20100000
34.00000000,1.20100000
34.01666667,1.20100000
34.03333333,1.20100000
34.05000000,1.20100000
34.06666667,1.20100000
34.08333333,1.20100000
34.10000000,1.20100000
34.11666667,1.20100000
34.13333333,1.20100000
34.15000000,1.20100000
34.16666667,1.20100000
34.18333333,1.20100000
34.20000000,1.20100000
34.21666667,1.20100000
34.23333333,1.20100000
34.25000000,1.20100000
34.26666667,1.20100000
34.28333333,1.20100000
34.30000000,1.20100000
34.31666667,1.20100000
34.33333333,1.20100000
34.35000000,1.20100000
34.36666667,1.20100000
34.38333333,1.20100000
34.40000000,1.20100000
34.41666667,1.20100000
34.43333333,1.20100000
