时间/h,到中心距离/cm,温度/℃,水分浓度/(kg/kg)
0.00000000,1.54072067,28.00000000,2.55000000
0.00000000,1.54644969,28.00000000,2.55000000
0.00000000,1.55215468,28.00000000,2.55000000
0.00000000,1.55783555,28.00000000,2.55000000
0.00000000,1.56349220,28.00000000,2.55000000
0.00000000,1.56912451,28.00000000,2.55000000
0.00000000,1.57473239,28.00000000,2.55000000
0.00000000,1.58031573,28.00000000,2.55000000
0.00000000,1.58587442,28.00000000,2.55000000
0.00000000,1.59140834,28.00000000,2.55000000
0.00000000,1.59691740,28.00000000,2.55000000
0.00000000,1.60240147,28.00000000,2.55000000
0.00000000,1.60786044,28.00000000,2.55000000
0.00000000,1.61329419,28.00000000,2.55000000
0.00000000,1.61870262,28.00000000,2.55000000
0.00000000,1.62408559,28.00000000,2.55000000
0.00000000,1.62944299,28.00000000,2.55000000
0.00000000,1.63477469,28.00000000,2.55000000
0.00000000,1.64008058,28.00000000,2.55000000
0.00000000,1.64536051,28.00000000,2.55000000
0.00000000,1.65061438,28.00000000,2.55000000
0.00000000,1.65584204,28.00000000,2.55000000
0.00000000,1.66104336,28.00000000,2.55000000
0.00000000,1.66621822,28.00000000,2.55000000
0.00000000,1.67136647,28.00000000,2.55000000
0.00000000,1.67648797,28.00000000,2.55000000
0.00000000,1.68158259,28.00000000,2.55000000
0.00000000,1.68665018,28.00000000,2.55000000
0.00000000,1.69169060,28.00000000,2.55000000
0.00000000,1.69670370,28.00000000,2.55000000
0.00000000,1.70168933,28.00000000,2.55000000
0.00000000,1.70664733,28.00000000,2.55000000
0.00000000,1.71157757,28.00000000,2.55000000
0.00000000,1.71647986,28.00000000,2.55000000
0.00000000,1.72135407,28.00000000,2.55000000
0.00000000,1.72620002,28.00000000,2.55000000
0.00000000,1.73101754,28.00000000,2.55000000
0.00000000,1.73580648,28.00000000,2.55000000
0.00000000,1.74056665,28.00000000,2.55000000
0.00000000,1.74529788,28.00000000,2.55000000
0.00000000,1.75000000,28.00000000,2.55000000
0.00000000,1.75467282,28.00000000,2.55000000
0.00000000,1.75931616,28.00000000,2.55000000
0.00000000,1.76392983,28.00000000,2.55000000
0.00000000,1.76851363,28.00000000,2.55000000
0.00000000,1.77306738,28.00000000,2.55000000
0.00000000,1.77759087,28.00000000,2.55000000
0.00000000,1.78208390,28.00000000,2.55000000
0.00000000,1.78654626,28.00000000,2.55000000
0.00000000,1.79097773,28.00000000,2.55000000
0.00000000,1.79537811,28.00000000,2.55000000
0.00000000,1.79974717,28.00000000,2.55000000
0.00000000,1.80408468,28.00000000,2.55000000
0.00000000,1.80839041,28.00000000,2.55000000
0.00000000,1.81266413,28.00000000,2.55000000
0.00000000,1.81690560,28.00000000,2.55000000
0.00000000,1.82111456,28.00000000,2.55000000
0.00000000,1.82529077,28.00000000,2.55000000
0.00000000,1.82943396,28.00000000,2.55000000
0.00000000,1.83354387,28.00000000,2.55000000
0.00000000,1.83762024,28.00000000,2.55000000
0.00000000,1.84166277,28.00000000,2.55000000
0.00000000,1.84567119,28.00000000,2.55000000
0.00000000,1.84964520,28.00000000,2.55000000
0.00000000,1.85358450,28.00000000,2.55000000
0.00000000,1.85748878,28.00000000,2.55000000
0.00000000,1.86135773,28.00000000,2.55000000
0.00000000,1.86519102,28.00000000,2.55000000
0.00000000,1.86898831,28.00000000,2.55000000
0.00000000,1.87274927,28.00000000,2.55000000
0.00000000,1.87647353,28.00000000,2.55000000
0.00000000,1.88016073,28.00000000,2.55000000
0.00000000,1.88381050,28.00000000,2.55000000
0.00000000,1.88742244,28.00000000,2.55000000
0.00000000,1.89099617,28.00000000,2.55000000
0.00000000,1.89453125,28.00000000,2.55000000
0.00000000,1.89802727,28.00000000,2.55000000
0.00000000,1.90148379,28.00000000,2.55000000
0.00000000,1.90490034,28.00000000,2.55000000
0.00000000,1.90827646,28.00000000,2.55000000
0.00000000,1.91161165,28.00000000,2.55000000
0.00000000,1.91490541,28.00000000,2.55000000
0.00000000,1.91815721,28.00000000,2.55000000
0.00000000,1.92136650,28.00000000,2.55000000
0.00000000,1.92453271,28.00000000,2.55000000
0.00000000,1.92765524,28.00000000,2.55000000
0.00000000,1.93073347,28.00000000,2.55000000
0.00000000,1.93376677,28.00000000,2.55000000
0.00000000,1.93675445,28.00000000,2.55000000
0.00000000,1.93969580,28.00000000,2.55000000
0.00000000,1.94259008,28.00000000,2.55000000
0.00000000,1.94543652,28.00000000,2.55000000
0.00000000,1.94823430,28.00000000,2.55000000
0.00000000,1.95098255,28.00000000,2.55000000
0.00000000,1.95368037,28.00000000,2.55000000
0.00000000,1.95632680,28.00000000,2.55000000
0.00000000,1.95892081,28.00000000,2.55000000
0.00000000,1.96146132,28.00000000,2.55000000
0.00000000,1.96394720,28.00000000,2.55000000
0.00000000,1.96637719,28.00000000,2.55000000
0.00000000,1.96875000,28.00000000,2.55000000
0.00000000,1.97106420,28.00000000,2.55000000
0.00000000,1.97331828,28.00000000,2.55000000
0.00000000,1.97551059,28.00000000,2.55000000
0.00000000,1.97763932,28.00000000,2.55000000
0.00000000,1.97970253,28.00000000,2.55000000
0.00000000,1.98169806,28.00000000,2.55000000
0.00000000,1.98362354,28.00000000,2.55000000
0.00000000,1.98547631,28.00000000,2.55000000
0.00000000,1.98725341,28.00000000,2.55000000
0.00000000,1.98895146,28.00000000,2.55000000
0.00000000,1.99056659,28.00000000,2.55000000
0.00000000,1.99209431,28.00000000,2.55000000
0.00000000,1.99352929,28.00000000,2.55000000
0.00000000,1.99486510,28.00000000,2.55000000
0.00000000,1.99609375,28.00000000,2.55000000
0.00000000,1.99720492,28.00000000,2.55000000
0.00000000,1.99818454,28.00000000,2.55000000
0.00000000,1.99901179,28.00000000,2.55000000
0.00000000,1.99965061,28.00000000,2.55000000
0.00000000,2.00000000,28.00000000,2.55000000
12.00000000,0.00000000,50.00000000,0.73735685
12.00000000,0.00584543,50.00000000,0.73734537
12.00000000,0.01168170,50.00000000,0.73731102
12.00000000,0.01750880,50.00000000,0.73725389
12.00000000,0.02332672,50.00000000,0.73717409
12.00000000,0.02913544,50.00000000,0.73707175
12.00000000,0.03493495,50.00000000,0.73694696
12.00000000,0.04072523,50.00000000,0.73679984
12.00000000,0.04650627,50.00000000,0.73663049
12.00000000,0.05227805,50.00000000,0.73643904
12.00000000,0.05804056,50.00000000,0.73622559
12.00000000,0.06379378,50.00000000,0.73599025
12.00000000,0.06953770,50.00000000,0.73573314
12.00000000,0.07527231,50.00000000,0.73545437
12.00000000,0.08099758,50.00000000,0.73515406
12.00000000,0.08671350,50.00000000,0.73483232
12.00000000,0.09242006,50.00000000,0.73448926
12.00000000,0.09811725,50.00000000,0.73412500
12.00000000,0.10380504,50.00000000,0.73373966
12.00000000,0.10948342,50.00000000,0.73333334
12.00000000,0.11515237,50.00000000,0.73290618
12.00000000,0.12081189,50.00000000,0.73245828
12.00000000,0.12646195,50.00000000,0.73198976
12.00000000,0.13210253,50.00000000,0.73150074
12.00000000,0.13773363,50.00000000,0.73099134
12.00000000,0.14335523,50.00000000,0.73046167
12.00000000,0.14896730,50.00000000,0.72991186
12.00000000,0.15456984,50.00000000,0.72934202
12.00000000,0.16016283,50.00000000,0.72875228
12.00000000,0.16574624,50.00000000,0.72814274
12.00000000,0.17132008,50.00000000,0.72751354
12.00000000,0.17688431,50.00000000,0.72686479
12.00000000,0.18243892,50.00000000,0.72619661
12.00000000,0.18798390,50.00000000,0.72550913
12.00000000,0.19351922,50.00000000,0.72480246
12.00000000,0.19904488,50.00000000,0.72407672
12.00000000,0.20456085,50.00000000,0.72333205
12.00000000,0.21006712,50.00000000,0.72256855
12.00000000,0.21556367,50.00000000,0.72178635
12.00000000,0.22105048,50.00000000,0.72098557
12.00000000,0.22652753,50.00000000,0.72016634
12.00000000,0.23199482,50.00000000,0.71932878
12.00000000,0.23745231,50.00000000,0.71847300
12.00000000,0.24290000,50.00000000,0.71759914
12.00000000,0.24833787,50.00000000,0.71670732
12.00000000,0.25376589,50.00000000,0.71579765
12.00000000,0.25918405,50.00000000,0.71487027
12.00000000,0.26459234,50.00000000,0.71392529
12.00000000,0.26999072,50.00000000,0.71296284
12.00000000,0.27537920,50.00000000,0.71198305
12.00000000,0.28075774,50.00000000,0.71098603
12.00000000,0.28612633,50.00000000,0.70997192
12.00000000,0.29148495,50.00000000,0.70894083
12.00000000,0.29683358,50.00000000,0.70789289
12.00000000,0.30217220,50.00000000,0.70682822
12.00000000,0.30750080,50.00000000,0.70574695
12.00000000,0.31281936,50.00000000,0.70464920
12.00000000,0.31812785,50.00000000,0.70353509
12.00000000,0.32342626,50.00000000,0.70240476
12.00000000,0.32871457,50.00000000,0.70125832
12.00000000,0.33399275,50.00000000,0.70009590
12.00000000,0.33926080,50.00000000,0.69891762
12.00000000,0.34451868,50.00000000,0.69772361
12.00000000,0.34976639,50.00000000,0.69651399
12.00000000,0.35500389,50.00000000,0.69528888
12.00000000,0.36023118,50.00000000,0.69404842
12.00000000,0.36544822,50.00000000,0.69279272
12.00000000,0.37065501,50.00000000,0.69152191
12.00000000,0.37585152,50.00000000,0.69023611
12.00000000,0.38103772,50.00000000,0.68893544
12.00000000,0.38621361,50.00000000,0.68762004
12.00000000,0.39137915,50.00000000,0.68629002
12.00000000,0.39653434,50.00000000,0.68494550
12.00000000,0.40167914,50.00000000,0.68358662
12.00000000,0.40681353,50.00000000,0.68221349
12.00000000,0.41193750,50.00000000,0.68082624
12.00000000,0.41705102,50.00000000,0.67942499
12.00000000,0.42215408,50.00000000,0.67800986
12.00000000,0.42724664,50.00000000,0.67658098
12.00000000,0.43232870,50.00000000,0.67513846
12.00000000,0.43740022,50.00000000,0.67368244
12.00000000,0.44246119,50.00000000,0.67221303
12.00000000,0.44751158,50.00000000,0.67073036
12.00000000,0.45255137,50.00000000,0.66923455
12.00000000,0.45758054,50.00000000,0.66772571
12.00000000,0.46259907,50.00000000,0.66620397
12.00000000,0.46760693,50.00000000,0.66466946
12.00000000,0.47260410,50.00000000,0.66312229
12.00000000,0.47759056,50.00000000,0.66156258
12.00000000,0.48256628,50.00000000,0.65999046
12.00000000,0.48753125,50.00000000,0.65840604
12.00000000,0.49248543,50.00000000,0.65680944
12.00000000,0.49742881,50.00000000,0.65520079
12.00000000,0.50236136,50.00000000,0.65358020
12.00000000,0.50728306,50.00000000,0.65194780
12.00000000,0.51219388,50.00000000,0.65030369
12.00000000,0.51709380,50.00000000,0.64864800
12.00000000,0.52198280,50.00000000,0.64698086
12.00000000,0.52686084,50.00000000,0.64530236
12.00000000,0.53172791,50.00000000,0.64361264
12.00000000,0.53658398,50.00000000,0.64191181
12.00000000,0.54142903,50.00000000,0.64019999
12.00000000,0.54626303,50.00000000,0.63847729
12.00000000,0.55108595,50.00000000,0.63674383
12.00000000,0.55589778,50.00000000,0.63499973
12.00000000,0.56069847,50.00000000,0.63324509
12.00000000,0.56548802,50.00000000,0.63148004
12.00000000,0.57026639,50.00000000,0.62970469
12.00000000,0.57503356,50.00000000,0.62791916
12.00000000,0.57978949,50.00000000,0.62612355
12.00000000,0.58453417,50.00000000,0.62431799
12.00000000,0.58926757,50.00000000,0.62250258
12.00000000,0.59398965,50.00000000,0.62067744
12.00000000,0.59870040,50.00000000,0.61884267
12.00000000,0.60339978,50.00000000,0.61699840
12.00000000,0.60808777,50.00000000,0.61514472
12.00000000,0.61276434,50.00000000,0.61328176
12.00000000,0.61742946,50.00000000,0.61140963
12.00000000,0.62208311,50.00000000,0.60952842
12.00000000,0.62672525,50.00000000,0.60763826
12.00000000,0.63135586,50.00000000,0.60573925
12.00000000,0.63597490,50.00000000,0.60383149
12.00000000,0.64058236,50.00000000,0.60191511
12.00000000,0.64517819,50.00000000,0.59999020
12.00000000,0.64976237,50.00000000,0.59805687
12.00000000,0.65433488,50.00000000,0.59611523
12.00000000,0.65889567,50.00000000,0.59416538
12.00000000,0.66344473,50.00000000,0.59220743
12.00000000,0.66798201,50.00000000,0.59024148
12.00000000,0.67250750,50.00000000,0.58826764
12.00000000,0.67702115,50.00000000,0.58628602
12.00000000,0.68152294,50.00000000,0.58429671
12.00000000,0.68601284,50.00000000,0.58229982
12.00000000,0.69049081,50.00000000,0.58029544
12.00000000,0.69495683,50.00000000,0.57828369
12.00000000,0.69941085,50.00000000,0.57626466
12.00000000,0.70385286,50.00000000,0.57423845
12.00000000,0.70828281,50.00000000,0.57220517
12.00000000,0.71270067,50.00000000,0.57016491
12.00000000,0.71710641,50.00000000,0.56811776
12.00000000,0.72150000,50.00000000,0.56606384
12.00000000,0.72588140,50.00000000,0.56400323
12.00000000,0.73025058,50.00000000,0.56193604
12.00000000,0.73460750,50.00000000,0.55986235
12.00000000,0.73895214,50.00000000,0.55778227
12.00000000,0.74328444,50.00000000,0.55569589
12.00000000,0.74760439,50.00000000,0.55360331
12.00000000,0.75191194,50.00000000,0.55150461
12.00000000,0.75620706,50.00000000,0.54939989
12.00000000,0.76048971,50.00000000,0.54728925
12.00000000,0.76475986,50.00000000,0.54517277
12.00000000,0.76901747,50.00000000,0.54305055
12.00000000,0.77326250,50.00000000,0.54092267
12.00000000,0.77749491,50.00000000,0.53878924
12.00000000,0.78171467,50.00000000,0.53665033
12.00000000,0.78592174,50.00000000,0.53450603
12.00000000,0.79011608,50.00000000,0.53235644
12.00000000,0.79429765,50.00000000,0.53020164
